Encrypted ID,Activity Type,Predicted Activity Type,Integrity_MAC
gAAAAABpJIL1d5pLKBbNsVaEvwFq4EQ0W1I19g40hBERjfZdL_GGnvYOPKjmPwloxnnBGsrcAfkdnLj3HuYZoiThoGT5r3IuKA==,Walk,Walk,75e9c9639a6d7890b8b88f1ee6886fb064d16fee2c475a197d2be8be63780425
gAAAAABpJIL1pDG6uW1xPUQQz_5_4AKNwyry6qMdwCyLT-FM4iMsr7kIc5w49KlRXxdMs57KFp15pDhsBVGyLqMc0HSSqpTXcg==,Ride,Ride,d493ab6d1e889c2037abc79da30568c3f5d49c357cf3d7ed225de4fa1f0bdaf8
gAAAAABpJIL1UEANv5412Bvc2m_6ZxolZ8nTY6TRwsPy1MYKR_CDRh5UGcMgLL-FYTD64NOK4BTT1WDX4jCKlay2jo924GL9Aw==,Ride,Ride,3033d6159464eaa2539d30abb40117fbfc4019c6bf85f627f04fec4247f9628c
gAAAAABpJIL1_QryIhirsMjXQllPMAeEmPSj8VqzkfSQvDn7h_s8OndPYx3qlI5yMy3-eq3K69tt-ekf3wFeALVBaFNzxgYOww==,Walk,Run,b6854708de13ebc27b9fce5e8759d26ee13ef0a83ae7d48d932282c62caed303
gAAAAABpJIL1JYd76kJ6z7CuoD1yVY0PvV-PuoWZwlui85CjNCbu-NFH1Z0jiPFYeMnQNYIalanws5UCo3AY05hW-Ykasoysrg==,Ride,Run,bec8ddb81c8b42b61af2e648cc5591f5dcbd05b117bddb940d0552468b1d4244
gAAAAABpJIL19ebrIjk17iOJgNkFfUxtQDf_Ur1Rem70G0qEpMrB-z2I2To7SwNUiJOQuwBVlH-4NVBQO3TVuvKth-J1lSZ-xg==,Walk,Walk,9ba92a7947ada1f6ca9d99919594238b48c9977cd11a79a4b378bb7583059fcb
gAAAAABpJIL1qxF_CCL6WiYRzTvLI5PO_FjnUKwtEPLiJ8T5Nto7a8A0i5SAasA5biDqsc05GmcdrHvZ1SFwxrI1i_fDWbT8NQ==,Walk,Walk,05f069f957dc33ad04826952ecacc00c20025cb650f6e796343c6d905e599604
gAAAAABpJIL15qXD35S0JjfAcF5jz5QK7DVkzeM-54u9ZFBf-wv1XISuAOJO_bqf2CtyDP8gl6COOOWZhhf5e8VmQsGQgbjM_A==,Ride,Ride,1e2ef3028477c6926963f58a546d26fd8717f1fd7f76cc4193ec67f712da9aad
gAAAAABpJIL10ax_wO8zNeT46Cg7SdakBU0MEoOBFJ-6nWBv4sqyexLxHRtehPr9hztX22yq9EyKJzNw9d2Nghin4NPzNDqYDg==,Walk,Walk,a30a10c9813ce9b3d62e392b37bbc6918e88d7cabd1849a4c87ed22952f1946a
gAAAAABpJIL1HN5f-xH6SWBgTE_uk03SFRai-Y376jllxWoTeB8BV9JAEvJ-HuAqjZntm4T1C7K8XnNdzNLRSVsZKy43Tq5_aA==,Ride,Ride,6ebfa5f47e9951c3417066b61e2ca2a1e9a6e48ddeab31c5e831db1d0dcbe604
gAAAAABpJIL1R2L6Lu1wAUyUYziDPLRNue8ZAWaccWih5iV5oUSjQ1Fze2L2bdV00REvr6ev779-z0txiYCfwF8VZQywXrYgkQ==,Ride,Ride,5b4832dd00264ccdc25834ece68e389ca3c248c1344753cd6b3f8cdfdde1bbe4
gAAAAABpJIL1myjGKxcQzOTpogRWZdJxWllrgq0d6MA0bSdY-gAO_u9vgwr326xC2pB6qAW0J47woHpiDmvOIiZnruY0P6D1wg==,Ride,Ride,5729b331643a9cc29b2adf216211124c09e4e5077b965901774ca70d67fbbbc2
gAAAAABpJIL1Eff1Jtp2NaWr0cc2OXlCJhsQ8vHOGIJImZVmJ-w1drG92BBjc8gCK18NU1MHTWuSHnLHvWudyWHqxXNEEqFQBQ==,Walk,Walk,28dd64937b876ab889ca3361cf8a2cc2f5840989c2523ac303551c1b8dad3db8
gAAAAABpJIL1WYerIzaurC8L7z-74x-lo4pUtWrS0NLHZjY4_Yvi-4Fb9_c92gb-TkVbi_JJubF-M3uCpjgpbn3q4i3R1Xpyxw==,Ride,Ride,82e164af3cb8c7e2382793f9519d147f53028e29922159a4224a41f696a63ebe
